lcr name:,KeySight E4980A
Name and description of Device under test: ,Sullivan A10 Coaxial GMH3I_2043
GPIB source:,<bound method MessageBasedResource.read of <'GPIBInstrument'('GPIB0::17::INSTR')>>
2025-06-18,16:02:06
select the freq range 90% - 110%,"[1432.4, 1512.4, 1591.5, 1670.8, 1749.6]"
1432.4,0.009807121304,22.2253906
1432.4,0.009807137166,22.22548889
1432.4,0.009807135242,22.22542745
1432.4,0.009807134954,22.22544096
1432.4,0.00980710544,22.22551505
1432.4,0.009807111966,22.22537156
1432.4,0.009807115898,22.2254463
1432.4,0.009807123149,22.22543669
1432.4,0.009807134553,22.22552769
1432.4,0.009807135856,22.22547835
1432.4,0.009807130556,22.22534518
1432.4,0.009807123714,22.22545247
1432.4,0.009807135445,22.22542669
1432.4,0.009807129452,22.22542017
1432.4,0.009807110859,22.225464
1432.4,0.009807140598,22.22553786
Freq,1432.4,Rs,22.225448119375,5.37469173647339e-05,Ls,0.0098071266345,1.0879576768684338e-08
